정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,lat,lon,수집일시,단축아이디,도시코드,도시명
GGB201000027,휴먼스카이벨리,0,N,,37.24245,126.9761333,2021-09-16 4:30,2047,31010,수원시
GGB201000028,구운사거리.농수산물유통센터,0,N,,37.2855667,126.9684667,2021-09-16 4:30,2074,31010,수원시
GGB201000029,서수원버스터미널,0,N,,37.2834,126.9707,2021-09-16 4:30,2090,31010,수원시
GGB201000030,구운오거리.경기중소기업성장지원센터,0,N,,37.2813833,126.97405,2021-09-16 4:30,2102,31010,수원시
GGB201000031,웃거리,0,N,,37.2770667,126.9789,2021-09-16 4:30,2119,31010,수원시
GGB201000032,더함파크,0,N,,37.27365,126.9844,2021-09-16 4:30,2130,31010,수원시
GGB201000033,더함파크,0,N,,37.2733667,126.9842333,2021-09-16 4:30,2129,31010,수원시
GGB201000034,웃거리,0,N,,37.2767167,126.9788,2021-09-16 4:30,2120,31010,수원시
GGB201000035,구운오거리.경기중소기업성장지원센터,0,N,,37.2809,126.9742,2021-09-16 4:30,2101,31010,수원시
GGB201000036,구운사거리.농수산물유통센터,0,N,,37.2849667,126.9686,2021-09-16 4:30,2073,31010,수원시
GGB201000037,권선꿈에그린북문,0,N,,37.2363167,126.9759,2021-09-16 4:30,2337,31010,수원시
GGB201000039,중보마을,0,N,,37.2517167,126.9911833,2021-09-16 4:30,2147,31010,수원시
GGB201000040,비상활주로.곡반정동입구,0,N,,37.233,127.0213667,2021-09-16 4:30,2225,31010,수원시
GGB201000041,공군관사,0,N,,37.24285,127.0172667,2021-09-16 4:30,2206,31010,수원시
GGB201000042,권선중학교,0,N,,37.2489,127.0177833,2021-09-16 4:30,2208,31010,수원시
GGB201000043,수원버스터미널,0,N,,37.2512167,127.0189833,2021-09-16 4:30,2213,31010,수원시
GGB201000044,신곡동,0,N,,37.2491833,127.01245,2021-09-16 4:30,2185,31010,수원시
GGB201000045,세류사거리,0,N,,37.25445,127.00975,2021-09-16 4:30,2175,31010,수원시
GGB201000046,새터마을,0,N,,37.2551,127.0084833,2021-09-16 4:30,2173,31010,수원시
GGB201000047,세류중학교.아세아시멘트,0,N,,37.2585167,127.0053667,2021-09-16 4:30,2166,31010,수원시
GGB201000048,세류중학교.아세아시멘트,0,N,,37.25865,127.0055833,2021-09-16 4:30,2165,31010,수원시
GGB201000049,새터마을,0,N,,37.2556667,127.0085833,2021-09-16 4:30,2174,31010,수원시
GGB201000050,세류사거리,0,N,,37.2546667,127.0102833,2021-09-16 4:30,2176,31010,수원시
GGB201000051,신곡동,0,N,,37.2495333,127.0126333,2021-09-16 4:30,2184,31010,수원시
GGB201000052,세류역,0,N,,37.2444,127.0146667,2021-09-16 4:30,2193,31010,수원시
GGB201000053,권선시장앞,0,N,,37.25585,127.0237833,2021-09-16 4:30,2236,31010,수원시
GGB201000054,권선아파트,0,N,,37.2551833,127.0265333,2021-09-16 4:30,2242,31010,수원시
GGB201000055,농수산물시장,0,N,,37.2567333,127.0297833,2021-09-16 4:30,2257,31010,수원시
GGB201000056,농수산물시장,0,N,,37.2569667,127.0301167,2021-09-16 4:30,2258,31010,수원시
GGB201000057,곡선새마을금고.권선자이e편한세상,0,N,,37.2551167,127.0260333,2021-09-16 4:30,2239,31010,수원시
GGB201000058,동남아파트.세평지하도입구,0,N,,37.2614167,127.0005167,2021-09-16 4:30,2159,31010,수원시
GGB201000059,가게앞.평동,0,N,,37.2606833,126.9957667,2021-09-16 4:30,2154,31010,수원시
GGB201000060,평동,0,N,,37.2589667,126.9942167,2021-09-16 4:30,2151,31010,수원시
GGB201000061,평동행정복지센터,0,N,,37.2580667,126.9934167,2021-09-16 4:30,2150,31010,수원시
GGB201000062,자동차매매센터,0,N,,37.25545,126.9908333,2021-09-16 4:30,2144,31010,수원시
GGB201000063,고색동입구.고색삼거리,0,N,,37.254,126.9891,2021-09-16 4:30,2142,31010,수원시
GGB201000064,고색파출소.종합공구단지,0,N,,37.2526333,126.9866833,2021-09-16 4:30,2137,31010,수원시
GGB201000065,고색삼거리,0,N,,37.25375,126.98865,2021-09-16 4:30,2141,31010,수원시
GGB201000066,자동차매매센터,0,N,,37.2556167,126.9908333,2021-09-16 4:30,2145,31010,수원시
GGB201000067,평동행정복지센터,0,N,,37.2581167,126.9932667,2021-09-16 4:30,2149,31010,수원시
GGB201000068,평동,0,N,,37.25945,126.9944167,2021-09-16 4:30,2152,31010,수원시
GGB201000073,큰갓띠,0,N,,37.2947333,126.9512,2021-09-16 4:30,2027,31010,수원시
GGB201000074,전원아파트.한라녹턴아파트,0,N,,37.2544,127.0153667,2021-09-16 4:30,2198,31010,수원시
GGB201000075,전원아파트.한라녹턴아파트,0,N,,37.2544667,127.0155667,2021-09-16 4:30,2199,31010,수원시
GGB201000076,입북동입구,0,N,,37.2916167,126.9604333,2021-09-16 4:30,2044,31010,수원시
GGB201000077,대명고등학교,0,N,,37.2936667,126.9432,2021-09-16 4:30,2006,31010,수원시
GGB201000078,입북동입구,0,N,,37.2919667,126.9608833,2021-09-16 4:30,2048,31010,수원시
GGB201000079,세권사거리,0,N,,37.2564333,127.02055,2021-09-16 4:30,2220,31010,수원시
GGB201000080,수원농협권선지점,0,N,,37.2579333,127.01715,2021-09-16 4:30,2204,31010,수원시
GGB201000081,세류현대아파트,0,N,,37.26025,127.0183667,2021-09-16 4:30,2211,31010,수원시
GGB201000082,삼익아파트,0,N,,37.2617167,127.017,2021-09-16 4:30,2202,31010,수원시
GGB201000083,정조사거리,0,N,,37.2626833,127.0128,2021-09-16 4:30,2187,31010,수원시
GGB201000084,유천교.세류1동주민센터입구,0,N,,37.2630167,127.0107167,2021-09-16 4:30,2177,31010,수원시
GGB201000085,수원센트럴타운2단지.수원역해모로아파트,0,N,,37.2634,127.00835,2021-09-16 4:30,2172,31010,수원시
GGB201000086,수원역해모로아파트.유천교,0,N,,37.2635333,127.0096167,2021-09-16 4:30,2178,31010,수원시
GGB201000087,정조사거리,0,N,,37.2630167,127.0126667,2021-09-16 4:30,2186,31010,수원시
GGB201000088,삼익아파트,0,N,,37.2619667,127.01725,2021-09-16 4:30,2203,31010,수원시
GGB201000089,세류현대아파트,0,N,,37.26035,127.0186833,2021-09-16 4:30,2212,31010,수원시
GGB201000090,수원농협권선지점,0,N,,37.25795,127.0174167,2021-09-16 4:30,2205,31010,수원시
GGB201000091,신곡사거리,0,N,,37.2573,127.0181667,2021-09-16 4:30,2209,31010,수원시
GGB201000092,세권사거리,0,N,,37.2565833,127.0211,2021-09-16 4:30,2223,31010,수원시
GGB201000093,삼익아파트,0,N,,37.2698,126.958,2021-09-16 4:30,2038,31010,수원시
GGB201000094,칠보초등학교,0,N,,37.2687833,126.9561,2021-09-16 4:30,2037,31010,수원시
GGB201000095,신미주아파트,0,N,,37.2686833,126.9541,2021-09-16 4:30,2033,31010,수원시
GGB201000096,호매실쌍용아파트,0,N,,37.2678,126.9513167,2021-09-16 4:30,2028,31010,수원시
GGB201000098,경기도동물위생시험소,0,N,,37.2674,126.9399667,2021-09-16 4:30,2007,31010,수원시
GGB201000099,칠보고등학교.칠보중학교.극동스타클래스,0,N,,37.2741333,126.9448,2021-09-16 4:30,2024,31010,수원시
GGB201000100,가온마을4단지.서수원칠보체육관,0,N,,37.2739167,126.9473,2021-09-16 4:30,2025,31010,수원시
GGB201000101,칠보입구,0,N,,37.2726167,126.96,2021-09-16 4:30,2042,31010,수원시
GGB201000102,구운동,0,N,,37.2787333,126.9691333,2021-09-16 4:30,2078,31010,수원시
GGB201000104,세류사거리.세류2동주민센터,0,N,,37.2547333,127.0114,2021-09-16 4:30,2181,31010,수원시
GGB201000105,서수원터미널.이마트,0,N,,37.28275,126.9694333,2021-09-16 4:30,2075,31010,수원시
GGB201000106,구운동하이마트,0,N,,37.27525,126.9692,2021-09-16 4:30,2281,31010,수원시
GGB201000107,구운사거리,0,N,,37.2856,126.9696667,2021-09-16 4:30,2083,31010,수원시
GGB201000109,수원가구거리,0,N,,37.2591333,127.0276667,2021-09-16 4:30,2247,31010,수원시
GGB201000110,수원가구거리,0,N,,37.25885,127.0274333,2021-09-16 4:30,2245,31010,수원시
GGB201000112,세류3동주민센터.버드내노인복지회관,0,N,,37.2603,127.0128667,2021-09-16 4:30,2188,31010,수원시
GGB201000113,매교역2번출구.성원아파트,0,N,,37.2646667,127.0154667,2021-09-16 4:30,2197,31010,수원시
GGB201000114,세류3동주민센터.버드내노인복지회관,0,N,,37.2600167,127.0130667,2021-09-16 4:30,2189,31010,수원시
GGB201000116,서수원버스터미널,0,N,,37.2829,126.9708667,2021-09-16 4:30,2091,31010,수원시
GGB201000117,구운사거리,0,N,,37.2853833,126.9693167,2021-09-16 4:30,2080,31010,수원시
GGB201000118,수원아이파크시티.선일초교,0,N,,37.2474667,127.0280667,2021-09-16 4:30,2252,31010,수원시
GGB201000119,㈜심스바이오닉스.DH테크타워,0,N,,37.2429167,126.98415,2021-09-16 4:30,2098,31010,수원시
GGB201000120,경기도장애인복지지원센터누림,0,N,,37.2389667,126.9711833,2021-09-16 4:30,2092,31010,수원시
GGB201000121,동아엘텍,0,N,,37.2430333,126.9865667,2021-09-16 4:30,2088,31010,수원시
GGB201000122,고색동태산아파트.도로교통관리사업소,0,N,,37.2505833,126.97585,2021-09-16 4:30,2108,31010,수원시
GGB201000125,권선구청.한봄고등학교,0,N,,37.2571667,126.9738333,2021-09-16 4:30,2097,31010,수원시
GGB201000126,도로교통관리사업소,0,N,,37.2505833,126.97625,2021-09-16 4:30,2109,31010,수원시
GGB201000127,권선꿈에그린북문,0,N,,37.2366667,126.9733,2021-09-16 4:30,2086,31010,수원시
GGB201000128,경기도장애인복지지원센터누림,0,N,,37.23895,126.97155,2021-09-16 4:30,2094,31010,수원시
GGB201000129,권선꿈에그린동문,0,N,,37.23605,126.97675,2021-09-16 4:30,2100,31010,수원시
GGB201000130,청구1차아파트,0,N,,37.2401833,126.9692333,2021-09-16 4:30,2081,31010,수원시
GGB201000131,서호중학교,0,N,,37.2664,126.9888167,2021-09-16 4:30,2275,31010,수원시
GGB201000132,농업유전자원센터.경기도기숙사.수원유스호스텔,0,N,,37.2644667,126.9836667,2021-09-16 4:30,2133,31010,수원시
GGB201000133,경기상상캠퍼스.푸른지대,0,N,,37.26595,126.9811833,2021-09-16 4:30,2126,31010,수원시
GGB201000134,탑동사거리,0,N,,37.2689167,126.97975,2021-09-16 4:30,2125,31010,수원시
GGB201000135,탑골1길,0,N,,37.2691,126.97765,2021-09-16 4:30,2114,31010,수원시
GGB201000136,우방아파트,0,N,,37.2685833,126.9747167,2021-09-16 4:30,2104,31010,수원시
GGB201000137,우방아파트,0,N,,37.2688667,126.9748667,2021-09-16 4:30,2106,31010,수원시
GGB201000138,탑골1길,0,N,,37.2693833,126.9773,2021-09-16 4:30,2113,31010,수원시
GGB201000139,탑동입구,0,N,,37.269,126.9798833,2021-09-16 4:30,2123,31010,수원시
GGB201000140,경기상상캠퍼스.푸른지대,0,N,,37.2661167,126.9813167,2021-09-16 4:30,2127,31010,수원시
GGB201000141,경기도기숙사.수원유스호스텔.농업유전자원센터,0,N,,37.2646,126.9836,2021-09-16 4:30,2132,31010,수원시
GGB201000142,서호중학교,0,N,,37.26655,126.98865,2021-09-16 4:30,2140,31010,수원시
GGB201000143,곡반정동차고지,0,N,,37.2343333,127.0227667,2021-09-16 4:30,2230,31010,수원시
GGB201000144,축산물유통센터입구,0,N,,37.2406667,127.02865,2021-09-16 4:30,2254,31010,수원시
GGB201000145,수원버스터미널,0,N,,37.2512167,127.0204,2021-09-16 4:30,2221,31010,수원시
GGB201000146,칠보입구,0,N,,37.27295,126.9589667,2021-09-16 4:30,2041,31010,수원시
GGB201000147,삼익3차아파트,0,N,,37.27715,126.9555,2021-09-16 4:30,2036,31010,수원시
GGB201000148,구운동,0,N,,37.2791167,126.9687167,2021-09-16 4:30,2034,31010,수원시
GGB201000149,칠보마을8단지.서수원칠보체육관,0,N,,37.2737667,126.947,2021-09-16 4:30,2026,31010,수원시
GGB201000150,칠보중학교.칠보고등학교.극동스타클래스,0,N,,37.2739667,126.9447833,2021-09-16 4:30,2023,31010,수원시
GGB201000151,오목천주공아파트,0,N,,37.2402667,126.9638833,2021-09-16 4:30,2289,31010,수원시
GGB201000152,청구1차아파트,0,N,,37.24,126.9679833,2021-09-16 4:30,2082,31010,수원시
GGB201000153,오목초등학교,0,N,,37.2400833,126.9638667,2021-09-16 4:30,2290,31010,수원시
GGB201000154,권선대림아파트,0,N,,37.2466333,127.0384667,2021-09-16 4:30,2272,31010,수원시
GGB201000155,권선상록아파트,0,N,,37.2489667,127.0359833,2021-09-16 4:30,2268,31010,수원시
GGB201000156,수원시청.수원일자리센터,0,N,,37.2622667,127.0283833,2021-09-16 4:30,2251,31010,수원시
GGB201000157,서부경찰서.권선구청입구,0,N,,37.2585667,126.97335,2021-09-16 4:30,2288,31010,수원시
GGB201000161,권선현대아파트,0,N,,37.2489833,127.0370333,2021-09-16 4:30,2271,31010,수원시
GGB201000162,권선대림아파트,0,N,,37.2465333,127.0388167,2021-09-16 4:30,2273,31010,수원시
GGB201000163,오목천동삼거리.수원여대입구,0,N,,37.2461333,126.9657167,2021-09-16 4:30,2066,31010,수원시
GGB201000164,오목천동사거리,0,N,,37.2449333,126.96365,2021-09-16 4:30,2061,31010,수원시
GGB201000165,오목천역.영신여자고교,0,N,,37.2420167,126.9629833,2021-09-16 4:30,2054,31010,수원시
GGB201000166,오목천역.영신여자고교.청구아파트,0,N,,37.242,126.9628167,2021-09-16 4:30,2055,31010,수원시
GGB201000167,오목천동사거리,0,N,,37.2448,126.96355,2021-09-16 4:30,2060,31010,수원시
GGB201000168,수원여대입구,0,N,,37.24595,126.9652333,2021-09-16 4:30,2064,31010,수원시
GGB201000169,청구아파트,0,N,,37.2847833,126.9766,2021-09-16 4:30,2111,31010,수원시
GGB201000170,서둔동주민센터,0,N,,37.2721833,126.98565,2021-09-16 4:30,2134,31010,수원시
GGB201000171,구운중학교,0,N,,37.27555,126.97645,2021-09-16 4:30,2110,31010,수원시
GGB201000172,탑동초등학교.삼성아파트,0,N,,37.2752167,126.9745833,2021-09-16 4:30,2103,31010,수원시
GGB201000173,구운동주민센터.서수원도서관,0,N,,37.27425,126.9705333,2021-09-16 4:30,2089,31010,수원시
GGB201000174,칠보입구,0,N,,37.2715167,126.9609,2021-09-16 4:30,2046,31010,수원시
GGB201000175,호매실GS아파트,0,N,,37.2688667,126.9590667,2021-09-16 4:30,2040,31010,수원시
GGB201000176,신미주아파트,0,N,,37.26745,126.9548667,2021-09-16 4:30,2035,31010,수원시
GGB201000177,호매실쌍용아파트,0,N,,37.2673333,126.9515667,2021-09-16 4:30,2031,31010,수원시
GGB201000178,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,N,,37.2675167,126.9405333,2021-09-16 4:30,2009,31010,수원시
GGB201000179,LG빌리지1차.와이씨티칠보마을6단지아파트,0,N,,37.2702333,126.9383333,2021-09-16 4:30,2003,31010,수원시
GGB201000180,LG빌리지3차.모아미래도아파트,0,N,,37.27385,126.9379833,2021-09-16 4:30,2001,31010,수원시
GGB201000181,모아미래도아파트.가온마을3단지,0,N,,37.27505,126.9416,2021-09-16 4:30,2022,31010,수원시
GGB201000182,당수동시민농장,0,N,,37.2842167,126.9403667,2021-09-16 4:30,2010,31010,수원시
GGB201000183,당수동삼정아파트,0,N,,37.2913833,126.9438667,2021-09-16 4:30,2019,31010,수원시
GGB201000184,당수동인정.한라.쌍용아파트,0,N,,37.2918667,126.94085,2021-09-16 4:30,2013,31010,수원시
GGB201000185,입북동삼거리,0,N,,37.2922333,126.9604167,2021-09-16 4:30,2950,31010,수원시
GGB201000186,구운동성원아파트.일월먹거리촌,0,N,,37.2821,126.9748667,2021-09-16 4:30,2105,31010,수원시
GGB201000187,구운동삼환아파트,0,N,,37.2831333,126.97895,2021-09-16 4:30,2121,31010,수원시
GGB201000188,구운동삼환아파트,0,N,,37.2826333,126.97815,2021-09-16 4:30,2117,31010,수원시
GGB201000189,구운동강남아파트,0,N,,37.282,126.9753167,2021-09-16 4:30,2107,31010,수원시
GGB201000190,세류사거리,0,N,,37.25305,127.01105,2021-09-16 4:30,2179,31010,수원시
GGB201000191,수원순복음교회,0,N,,37.2456,127.0361167,2021-09-16 4:30,2269,31010,수원시
GGB201000192,수원버스터미널,0,N,,37.2489,127.0216333,2021-09-16 4:30,2224,31010,수원시
GGB201000193,남수원초등학교,0,N,,37.2507333,127.0165667,2021-09-16 4:30,2200,31010,수원시
GGB201000194,세류2동주민센터,0,N,,37.2528667,127.0126833,2021-09-16 4:30,2183,31010,수원시
GGB201000195,세류2동주민센터,0,N,,37.2535333,127.0124167,2021-09-16 4:30,2182,31010,수원시
GGB201000196,남수원초등학교,0,N,,37.25115,127.0168,2021-09-16 4:30,2201,31010,수원시
GGB201000197,수원버스터미널,0,N,,37.2498333,127.0197667,2021-09-16 4:30,2215,31010,수원시
GGB201000198,이마트,0,N,,37.2490667,127.023,2021-09-16 4:30,2232,31010,수원시
GGB201000199,선일초등학교,0,N,,37.24765,127.0292167,2021-09-16 4:30,2256,31010,수원시
GGB201000200,곡반초등학교,0,N,,37.2460167,127.0367,2021-09-16 4:30,2270,31010,수원시
GGB201000201,세류2동.세류역환승주차장,0,N,,37.242,127.01525,2021-09-16 4:30,2196,31010,수원시
GGB201000202,비행장입구.세류역,0,N,,37.2444333,127.0143833,2021-09-16 4:30,2192,31010,수원시
GGB201000203,미영아파트,0,N,,37.2470667,127.0134,2021-09-16 4:30,2191,31010,수원시
GGB201000204,매탄권선역.화홍고등학교,0,N,,37.2527,127.0404833,2021-09-16 4:30,2866,31010,수원시
GGB201000205,수원시청역3번출구.서울보증보험,0,N,,37.2603833,127.0311333,2021-09-16 4:30,2259,31010,수원시
GGB201000206,태장면고개,0,N,,37.2643833,127.0203833,2021-09-16 4:30,2218,31010,수원시
