"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000013423,초계고등학교,고등학교,1955-04-08,공립,본교,운영,경상남도 합천군 초계면 아막리 87,경상남도 합천군 초계면 초계중앙로 101,9010000,경상남도교육청,9221000,경상남도합천교육지원청,2013-11-29,2021-07-05,35.558302809,128.27095164,2021-09-15
B000002646,덕두초등학교,초등학교,1948-03-25,공립,본교,운영,부산광역시 강서구 대저2동 2489-1,부산광역시 강서구 공항로791번길 68,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2021-07-05,35.175648153,128.95586983,2021-09-15
B000006842,금성초등학교,초등학교,1962-04-10,공립,본교,운영,전라남도 진도군 군내면 둔전리 356-2,전라남도 진도군 군내면 금골길 58,8490000,전라남도교육청,8711000,전라남도진도교육지원청,2013-11-29,2021-07-05,34.537717133,126.29304394,2021-09-15
B000005096,주천초등학교,초등학교,1919-11-01,공립,본교,운영,강원도 영월군 주천면 주천리 1382,강원도 영월군 주천면 주천로 89,7800000,강원도교육청,7901000,강원도영월교육지원청,2013-11-29,2021-07-05,37.27120713,128.2682992,2021-09-15
B000007059,길주초등학교,초등학교,1995-03-01,공립,본교,운영,경상북도 안동시 용상동 1527-4,경상북도 안동시 경동로 947-20,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2021-07-05,36.55560202,128.7604284,2021-09-15
B000010673,신안흑산중학교,중학교,1960-04-20,공립,본교,운영,전라남도 신안군 흑산면 진리 26,전라남도 신안군 흑산면 흑산일주로 124,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,2021-07-05,34.682867442,125.43278666,2021-09-15
B000008731,성곡중학교,중학교,2003-03-01,공립,본교,운영,대구광역시 달서구 용산동 527,대구광역시 달서구 새방로 32,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2021-07-05,35.861810935,128.52294297,2021-09-15
B000006738,도포초등학교,초등학교,1925-04-11,공립,본교,운영,전라남도 영암군 도포면 덕화리 100-2,전라남도 영암군 도포면 줄다리로 117,8490000,전라남도교육청,8651000,전라남도영암교육지원청,2013-11-29,2021-07-05,34.836550673,126.63533795,2021-09-15
B000011842,대전과학고등학교,고등학교,1983-11-21,공립,본교,운영,대전광역시 유성구 구성동 19-2,대전광역시 유성구 과학로 46,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2021-07-05,36.374194657,127.37143575,2021-09-15
B000010905,남정중학교,중학교,1965-12-24,공립,본교,운영,경상북도 영덕군 남정면 장사리 410-1,경상북도 영덕군 남정면 진불길 11-27,8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2021-07-05,36.283822026,129.37021246,2021-09-15
B000006650,조성남초등학교,초등학교,1946-04-15,공립,본교,운영,전라남도 보성군 조성면 덕산리 36,전라남도 보성군 조성면 산정길 2,8490000,전라남도교육청,8601000,전라남도보성교육지원청,2013-11-29,2021-07-05,34.789980399,127.21502296,2021-09-15
B000025610,일광중학교,중학교,2021-03-01,공립,본교,운영,부산광역시 기장군 일광면 삼성리 749,"부산광역시 기장군 일광면 해빛3로 99 , 일광중학교 (일광면)",7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2021-07-05,35.26522711,129.2204614,2021-09-15
B000002769,대구강동초등학교,초등학교,2004-03-01,공립,본교,운영,대구광역시 동구 신서동 544,대구광역시 동구 동호로7길 17,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2021-07-05,35.86803973,128.73023865,2021-09-15
B000005009,진주초등학교,초등학교,1946-04-15,공립,본교,운영,강원도 삼척시 남양동 178,강원도 삼척시 사직로1길 23,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2021-07-05,37.433047771,129.16575829,2021-09-15
B000003171,인천검암초등학교,초등학교,2004-03-01,공립,본교,운영,인천광역시 서구 검암동 495,인천광역시 서구 승학로 599번길 45,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2013-11-29,2021-07-05,37.56796266,126.67829298,2021-09-15
