코드,코드명
ZC0011,팔공산자연공원집단시설지구
UHH400,특별유치업종을위한지역
UIA100,도로구역
UIA200,접도구역
UIA300,입체적도로구역
UIA400,도로보전입체구역
UIE100,항만구역
UIE500,임항구역
UIE510,임항지역
UIF100,신항만건설예정지역
UIJ500,노외주차장설치제한지역
UIK100,철도보호지구
UJB100,하천구역
UJC100,소하천구역
UJC200,소하천예정지
UJD200,온천공보호구역
ULB200,전원개발사업예정구역
UIG560,내부전이표면구역
UMC100,생태계보전지역
UMC110,시·도 생태계보전지역
ZA0008,조망가로미관지구
ZH6101,광주시향토유적보호구역
ZH2901,과천시향토유적보호구역
ZH4101,군포시향토유적보호구역
ZH5701,김포시향토유적보호구역
ZH3601,남양주시향토유적보호구역
ZH1101,수원시향토유적보호구역
ZH2501,동두천시향토유적보호구역
ZH2701,안산시향토유적보호구역
ZH1701,안양시향토유적보호구역
ZH1901,부천시향토유적보호구역
ZH3101,구리시향토유적보호구역
ZH8301,양평군향토유적보호구역
ZK0013,시계관리지구
ZH1301,성남시향토유적보호구역
ZH8201,가평군향토유적보호구역
UMB310,공원마을지구
ZM2302,농수산업지구
UNE414,비행안전 제4구역(전술)
TMP057,(임시)완충관리구역
ZM8006,농수산업지구
UNE425,비행안전 제5구역(지원)
ZP0006,보행자우선지구
ZP0007,주거환경보호지구
ZP0008,농·수·축산업지구
UIN300,제3종구역
TMP074,역사문화환경 보존지역
ZI7804,위험물저장 및 처리시설제한지구
ZH3103,제2종자연경관지구
UBU100,대회관련시설 설치·이용지역
UOC500,지정문화재
UNE432,비행안전 제2구역(헬기)
TMP043,(임시)저수지 공장설립 승인 필요 지역
UFQ400,보안림
ZH0018,위락시설제한지구
ZL0011,농수산업지구
ZL0012,주거환경보호지구
ZF0004,위락시설제한지구
UEA100,농업진흥지역
UEA110,농업진흥구역
UEA120,농업보호구역
UFE100,사방지
UFI100,국립수목원완충지역
UFK100,자연휴양림
UFK200,채종림구역
UFK300,보안림
UFK400,산림유전자원보호림
UQF100,경관지구
UQG100,미관지구
UQH100,고도지구
UQI100,방화지구
UQJ100,방재지구
UQK100,보호지구
UQL100,시설보호지구
UQM100,취락지구
UQN100,개발진흥지구
UQO100,특정용도제한지구
UQP120,위락지구
UQP130,리모델링지구
UQQ200,시가화조정구역
UFM100,보전산지
UFN100,산지전용·일시사용제한지역
UFN200,채석허가제한지역
UFO100,백두대간보호지역
UFO110,핵심구역
UFO120,완충구역
UHA100,국가산업단지
UHA210,일반산업단지
UHA220,도시첨단산업단지
UHA300,농공단지
UHE100,유통단지
UHH100,과밀억제지역
UGA100,어항구역(육역)
UGC100,연안육역
UIE600,항만배후단지
UIG100,공항구역
UIG300,공항소음피해지역
UIG510,진입표면구역
UIG530,원추표면구역
UIG540,전이표면구역
UJB200,하천예정지
UJD100,온천지구
UJE100,지하수보전구역
ZH0012,농·수산업지구
ZH0013,시계관리지구
ZI0001,조망권경관지구
ZJ0008,문화재보존영향 검토대상구역
ZK0001,제1종자연경관지구
ZK0002,제2종자연경관지구
ZK0003,제1종수변경관지구
ZK0004,제2종수변경관지구
ZK0005,전통경관지구
ZK0006,조망권경관지구
ZK0007,숙박시설제한지구
ZK0008,위락시설제한지구
ZK0009,위험물저장및처리시설제한지구
ZK0010,보행자우선지구
ZK0011,주거환경보호지구
UQTEST,계획관리지역(표대비)
ZA0011,비오톱1등급
UM1100,공장설립제한지역
TMP039,(임시)대회관련시설 설치·이용지역
UDE100,공공지원민간임대주택 공급촉진지구
UQN170,산업·유통개발진흥지구
TMP068,(임시)역사문화환경 보존지역
ZM8002,제2종자연경관지구
UIN200,제2종구역
TMP061,(임시)역사문화환경 보존지역
UMC500,생태·경관보전지역
UMC510,생태·경관핵심보전구역
UMC520,생태·경관완충보전구역
UMC530,생태·경관전이보전구역
UMC600,시·도 생태·경관보전지역
ZO7401,주거환경보호지구
UBK120,일반주거구역
UBK130,준주거구역
UQT600,도시자연공원구역
UDA100,재정비촉진지구
UIG320,제2종구역
UHJ400,녹지구역
UOJ100,묘지등설치제한지역
UMY310,시·도해양생물보호구역
ZH0020,자연환경보전보호구역
UMJ100,환경정비구역
UQQ700,개발밀도관리구역
UOE300,전통사찰 역사문화보존구역
UBB600,지역종합개발지구
UPB100,재해위험지구
UMY320,시·도해양생태계보호구역
UHA400,특수지역
UKB100,무선방위측정장치보호구역
UEC400,농업생산기반 정비사업지역
UEC500,마을정비구역
UEC600,농어촌 관광휴양단지
UEC300,한계농지등 정비지구
UMY100,해양보호구역
UMY120,해양생태계보호구역
UMY130,해양경관보호구역
UMY200,긴급해양보호구역
UMY300,시·도해양보호구역
UJD300,온천원보호지구
UMK300,(한강)오염행위 제한지역
UMU400,(금강)건축 등 허가제한지역
UMU500,(금강)폐수배출시설 설치제한지역
UMU600,(금강)폐기물매립시설 설치제한지역
UMV400,(낙동강)건축 등 허가제한지역
UMV500,(낙동강)폐수배출시설 설치제한지역
UMV600,(낙동강)폐기물매립시설 설치제한지역
UMW400,(영산강·섬진강)건축 등 허가제한지역
UMW500,(영산강·섬진강)폐수배출시설 설치제한지역
UHA200,지방산업단지
UBL110,지하수자원보전지구(1등급)
UBL120,지하수자원보전지구(2등급)
ZJ8012,제2종자연경관지구
UBR100,국제화계획지구
ZJ8013,제1종수변경관지구
ZO3112,주거환경보호지구
ZJ8011,제1종자연경관지구
ZJ8016,조망권경관지구
ZO3113,농수산업지구
ZJ8014,제2종수변경관지구
ZC0008,위험물저장및처리시설제한지구
UMB320,공원밀집마을지구
UMB400,공원집단시설지구
UMC300,자연유보지역
UMC400,자연휴식지
ZC0001,제1종자연경관지구
ZL7403,농수산업지구
UBW100,해양박람회특구
UNIM06,비행안전 제6구역
TMP042,(임시)2018평창동계올림픽 특별구역
UIG200,공항·비행장개발예정지역
ZD0009,역사문화환경 보존지역
UNIM03,비행안전 제3구역
TMP045,(임시)민북지역산지전용제한지역
TMP047,(임시)민북지역산지특별관리지역
UEG100,영농여건불리농지
ZQ0001,중점경관관리구역
