시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,lat,lon
수원시,숙지공원,Sukji Park,202000170,3245,노변정류장,경기도 고양시 ,,37.2836333,126.9969833
수원시,숙지공원.화서동굿모닝힐.화서다산도서관,"Sukji Park, Hwaseo-dong Good Morning Hill, Hwaseo Dasan Library ",200000210,3004,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,37.28455,126.9954667
수원시,숙지공원.화서동굿모닝힐.화서다산도서관,"Sukji Park, Hwaseo-dong Good Morning Hill, Hwaseo Dasan Library ",200000217,3005,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,37.2842833,126.9957833
수원시,숙지중고교.서호공원,"Sukji Middle & High School, Seoho Park ",202000094,3177,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,37.2818333,126.9917833
수원시,숙지중고교.서호공원,"Sukji Middle & High School, Seoho Park ",202000095,3178,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,37.2817667,126.9913167
수원시,시립수원산업단지어린이집,Suwon Industrial Complex Childcare Center,201000480,2964,노변정류장,경기도 수원시,경기도 수원시 권선구 고색동,37.2428,126.9841667
수원시,시립수원산업단지어린이집,,201507220,2086,,,,37.24295,126.98415
수원시,신곡동,Singok-dong,201000051,2184,노변정류장,경기도 수원시,경기도 수원시 권선구 세류동,37.2495333,127.0126333
수원시,신곡동,Singok-dong,201000044,2185,노변정류장,경기도 수원시,경기도 수원시 권선구 세류동,37.2491833,127.01245
수원시,신곡사거리,Singok Sageori,201000091,2209,노변정류장,경기도 수원시,경기도 수원시 권선구 권선동,37.2573,127.0181667
수원시,신나무실5단지,Sinnamusil 5-danji ,203000364,4351,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2518333,127.0618833
수원시,신나무실사거리,Sinnamusil Sageori,203000414,4401,노변정류장,경기도 수원시,,37.2504833,127.0637167
수원시,신나무실아파트,Sinnamusil Apartment ,203000137,4120,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.25245,127.06605
수원시,신나무실아파트,Sinnamusil Apartment ,203000131,4121,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2526667,127.0659
수원시,신동단독택지,Sindong Housing Site,203000384,4369,노변정류장,경기도 수원시,경기도 수원시 영통구 신동,37.25025,127.0433167
수원시,신동단독택지,Sindong Housing Site,203000385,4370,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2505,127.0435667
수원시,신명아파트,Sinmyeong Apartment ,200000376,1349,노변정류장,경기도 수원시,,37.3007,126.9809667
수원시,신명아파트,Sinmyeong Apartment ,200000071,1030,노변정류장,경기도 수원시,경기도 수원시 장안구 천천동,37.3022833,126.98045
수원시,신미주SK뷰,Sinmiju SKView ,203000419,4406,노변정류장,경기도 수원시,,37.2153167,127.05235
수원시,신미주아파트,Sinmiju Apartment ,201000379,2875,노변정류장,경기도 수원시,경기도 수원시 권선구 호매실동,37.2687833,126.9538167
수원시,신미주아파트,Sinmiju Apartment,201000095,2033,노변정류장,경기도 수원시,경기도 수원시 권선구 호매실동,37.2686833,126.9541
수원시,신미주아파트,Sinmiju Apartment,201000248,2032,노변정류장,경기도 수원시,경기도 수원시 권선구 호매실동,37.2676167,126.954
수원시,신미주아파트,Sinmiju Apartment,201000176,2035,노변정류장,경기도 수원시,경기도 수원시 권선구 호매실동,37.26745,126.9548667
수원시,신병원.대원.거산아파트,"Shin Hospital, Daewon, Geosan Apartment ",201000019,2128,노변정류장,경기도 수원시,경기도 수원시 권선구 고색동,37.2518167,126.9837833
수원시,신병원.대원.거산아파트,"Shin Hospital, Daewon, Geosan Apartment ",201000022,2131,노변정류장,경기도 수원시,경기도 수원시 권선구 고색동,37.2518333,126.9849667
수원시,신안아파트,Sinan Apartment,200000103,1026,노변정류장,경기도 수원시,경기도 수원시 장안구 천천동,37.3027167,126.9756167
수원시,신일아파트,Shinil Apartment ,200000028,1004,노변정류장,경기도 수원시,경기도 수원시 장안구 율전동,37.3001667,126.9672667
수원시,신풍초등학교.자연앤자이,"Dasan Middle School, Gwanggyo Hyeryeong Park",203000301,4327,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2853333,127.05345
수원시,신풍초등학교.자연앤자이,"Dasan Middle School, Gwanggyo Hyeryeong Park ",203000300,4333,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2853333,127.0537167
수원시,신협사거리,Sinhyup Sageori,202000134,3209,노변정류장,경기도 수원시,,37.2649333,127.0207667
수원시,신호아파트,Sinho Apartment ,200000331,1304,노변정류장,경기도 수원시,,37.3026,126.9891667
수원시,신호아파트,Sinho Apartment,200000332,1305,노변정류장,경기도 수원시,,37.3025167,126.9893333
수원시,쌍용아파트,Ssangyong Apartment,201000537,,노변정류장,경기도 수원시,,37.2932667,126.93755
수원시,쌍용아파트,Ssangyong Apartment,201000535,,노변정류장,경기도 수원시,,37.2930833,126.9381333
수원시,아름다운나날,Areumdaun-nanal,201000393,2890,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2411333,126.96975
수원시,아이파크7단지,,201000585,2978,,,,37.2466333,127.0214333
수원시,아이파크7단지,,201000586,2979,,,,37.24625,127.0212167
수원시,아주대,Ajou University ,203000411,4295,,경기도 수원시,,37.27425,127.0449
수원시,아주대,Ajou University ,202000121,3186,,경기도 수원시,,37.2753333,127.04245
수원시,아주대.아주대병원입구.한국자산관리공사,"Ajou University, Ajou University Hospital, Korea Asset Management Corporation ",203000066,4237,노변정류장,경기도 수원시,경기도 수원시 영통구 원천동,37.2786,127.0439833
수원시,아주대.아주대병원입구.한국자산관리공사,"Ajou University, Ajou University Hospital, ",202000005,3126,노변정류장,경기도 수원시,,37.2785,127.0436
수원시,아주대병원,Ajou University Hospital ,203000170,4041,노변정류장,경기도 수원시,경기도 수원시 영통구 원천동,37.2779333,127.0471333
수원시,아주대병원,Ajou University Hospital ,203000171,4039,노변정류장,경기도 수원시,경기도 수원시 영통구 원천동,37.2783333,127.0468667
수원시,아주대삼거리,Ajou University Samgeori ,203000179,4023,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2743,127.0444667
수원시,아주대입구.우리은행,"Ajou University, Woori Bank",202000073,3132,노변정류장,경기도 수원시,경기도 수원시 팔달구 우만동,37.2755,127.0422833
수원시,아주대학교도서관,,203509720,,,,,37.2817167,127.0436167
수원시,아주대학교도서관,,203509750,,,,,37.2814833,127.04345
수원시,아주대학교병원,,203509760,,,,,37.2787167,127.0467167
수원시,아주대학교병원,,203509710,,,,,37.2787667,127.0482
수원시,아주대학교생활관,,203509730,,,,,37.28435,127.04525
수원시,아주대학교입구,Ajou University ,203000067,4238,노변정류장,경기도 수원시,경기도 수원시 영통구 원천동,37.2760333,127.0441333
수원시,아주대학교입구,Ajou University ,202000004,3129,노변정류장,경기도 수원시,경기도 수원시 팔달구 우만동,37.2757167,127.0437667
수원시,아주대학교팔달관,,203509740,,,,,37.2837667,127.0420167
수원시,엘지아파트.금강아파트,"LG Apartment, Geumgang Apartment",200000224,3154,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,37.2878667,126.9820667
수원시,엘지아파트.금강아파트,"LG Apartment, Geumgang Apartment ",200000223,3153,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,37.2879667,126.9816833
수원시,여권민원실.풍림아파트,"Passport Service Center, Poonglim Apartment ",202000036,3096,노변정류장,경기도 수원시,경기도 수원시 팔달구 우만동,37.2875333,127.0335
수원시,여권민원실.풍림아파트,"Passport Service Center, Poonglim Apartment ",202000054,3095,노변정류장,경기도 수원시,경기도 수원시 팔달구 우만동,37.28745,127.0330833
수원시,역사공원삼거리(경유),,277101857,,,,,37.29725,127.0495333
수원시,연무동,Yeonmu-dong,200000247,1236,노변정류장,경기도 수원시,경기도 수원시 장안구 연무동,37.2926333,127.0319167
수원시,연무동종점,Yeonmu-dong Bus Terminal ,200000086,1200,노변정류장,경기도 수원시,,37.29795,127.0298833
수원시,연무동차고지,Yeonmu-dong Garage,200000067,1203,노변정류장,경기도 수원시,경기도 수원시 장안구 연무동,37.2982167,127.0299833
수원시,연무시장입구,Yeonmu Market,200000170,1190,노변정류장,경기도 수원시,경기도 수원시 장안구 연무동,37.2934167,127.02605
수원시,연무시장입구,Yeonmu Market,200000167,1189,노변정류장,경기도 수원시,경기도 수원시 장안구 연무동,37.2932,127.0260667
수원시,연무중학교.써밋플레이스광교,"Yeonmu Middle School, Summit Place Gwanggyo",203000321,4347,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2912,127.0515167
수원시,연무중학교.써밋플레이스광교,"Yeonmu Middle School, Summit Place Gwanggyo",203000322,4330,노변정류장,경기도 수원시,경기도 수원시 영통구 이의동,37.2910167,127.0514
수원시,연세의원,Yonsei Clinic ,202000160,3235,노변정류장,경기도 수원시,,37.2809667,127.0264
수원시,연화장,Suwon City Facilities Management Corporation,203000062,4171,노변정류장,경기도 수원시,경기도 수원시 영통구 하동,37.2909,127.0833167
수원시,영광아파트,Yeonggwang Apartment ,202000166,3241,노변정류장,경기도 수원시,,37.2795167,126.9931167
수원시,영광아파트,Yeonggwang Apartment ,202000131,3206,노변정류장,경기도 수원시,,37.2690167,127.0228667
수원시,영남아파트,Youngnam Apartment ,200000421,1394,노변정류장,경기도 수원시,,37.2898833,126.99925
수원시,영남아파트,Youngnam Apartment ,200000422,1395,노변정류장,경기도 수원시,,37.2905167,126.9984333
수원시,영덕중학교,Youngduk Middle School,203000107,4140,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.25845,127.0720667
수원시,영동시장,Yeongdong Market,202000031,3142,노변정류장,경기도 수원시,경기도 수원시 팔달구 영동,37.2753333,127.0185
수원시,영동중학교,Yeongdong Middle School,203000009,4076,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2470333,127.0569
수원시,영동중학교,Yeongdong Middle School,203000015,4077,노변정류장,경기도 수원시,경기도 수원시 영통구 영통동,37.2469333,127.0572333
수원시,영복여고,Youngbok Girls' High School,200000319,1293,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.28805,127.0051667
수원시,영복여고,Youngbok Girls' High School,200000320,1294,노변정류장,경기도 수원시,경기도 수원시 장안구 영화동,37.2881,127.0053833
수원시,영신여자고교,Youngshin Girls' High School,201000165,2054,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.242,126.963
